ISIN,Ticker
IE00BCRY6557,ERN1.L
IE00B14X4Q57,IBGS.SW
IE00B1FZS681,IBGX.SW
IE00B4WXJG34,IBGY.L
IE00B4WXJJ64,SEGA.L
LU0290355717,
IE00B1FZS806,IBGM.L
IE00BSKRJX20,020Y.L
LU2244387457,GEMU.PA
LU0290357846,DBXG.DE
LU0290357259,
IE00B6X2VY59,
IE00B3B8Q275,
LU1681039647,CC4.PA
IE00B3F81R35,IEAC.L
IE00B4L60045,IE15.L
IE00BYZTVV78,SUSS.L
FR0010807107,0P0000MOEG.F
FR0013277571,0P0001BNA9.F
LU2533811910,SRIUD.PA
IE00BYZTVT56,SUOE.L
IE000UX5WPU4,
IE00BZ163G84,VECP.SW
IE00B3DKXQ41,SEAG.L
IE00B0M62X26,IBCI.L
LU1681046261,CB3.PA
LU2533810862 ,GEU3C.PA
IE00B4WXJH41,IBGZ.MI
LU2616774076,BJLJ.DE
IE00B5M4WH52 ,IEML.L
IE00B6TLBW47,EMCP.L
IE00B14X4S71 ,IBTS.L
IE00B1FZS798,IBTM.SW
IE00BGPP6473,
IE00BM97MR69,XT01.L
LU1399300455,0E5H.IL
"LU0290357929  
",
IE000GUOATN7,
IE000WA6L436,
IE000ZOI8OK5,IB27.PA
IE0008UEVOE0 ,
IE00B66F4759,SHYG.L
LU2244386053,HYSRI.PA
IE0006YM7D84,
FR0007052782,CAC.PA
FR0013380607,CACC.PA
FR0010591362,SHC.PA
LU0274211480,DBXD.DE
FR0007054358,MSE.PA
DE000A0D8Q07,
IE000FF2EBQ8,ENG.PA
FR0010150458,E40.PA
FR0011550193,ETSZ.DE
IE00BFMNHK08,XZEU.DE
FR0012739431,ETDD.PA
IE00B86MWN23,IMV.L
LU1377382368,ECN.PA
IE00B52VJ196,IESG.L
FR0010261198,MEU.PA
LU1861137484,MIVB.DE
DE0005933998,EXSD.DE
IE00B9MRHC27,XDN0.L
FR0011261197,0P00017SX2.F
 FR0010321810,EHQ3.F
FR0000295230,0P00000PM8.F
DE000A0F5UK5,EXV6.DE
LU1291098827,EEMU.PA
LU2446381555,BIODV.PA
IE00B3VWMM18,
IE00BHZPJ015 ,EDM4.DE
LU0261948904,FJR7.MU
LU0048581077,FJRK.F
LU0322253906,
FR0010315770,WLD.PA
IE00BZ02LR44 ,XZW0.DE
LU1829220216,LYY0.DE
IE000W8HP9L8,WEMT2.PA
IE00BYX2JD69,SUSW.L
LU1953136527,REUSE.MI
IE000Y77LGG9,
LU0533033667,TNOW.PA
IE000CL68Z69,PABW.DE
LU2194447293,BLUE.PA
IE00BMVB5R75 ,
IE00BMVB5P51,
IE00BMVB5M21,
FR0000284689,CL54.F
LU2358389745,0P0001OFTX.F
LU0260869739,FLX6.MU
FR0007056841,DJE.MI
LU1135865084,SP5C.PA
FR0013041530,ESEH.PA
LU0496786574,LYPS.DE
LU1829221024,NASD.L
IE00B14X4M10,INAA.SW
IE00BJZ2DC62,XRSM.DE
IE000R85HL30,
LU1659681586,EKLDC.PA
(royaume uni),
LU0292097747,XASX.L
IE00B42Z5J44,IJPE.L
IE00B02KXH56,
LU1681044480,AASI.PA
LU2233156749,
LU1291102447,0E4H.IL
LU0839027447,XDJP.DE
IE00BHZPJ452,EDMJ.DE
LU1291106356,EPEJ.PA
LU0514695690 ,LG9.SI
FR0011869320,PINR.PA
IE00BKM4GZ66,EIMI.L
IE00B1W57M07,IQQ9.DE
IE00B27YCK28,DLTM.L
LU1861138961,EMSRI.PA
IE00BMG6Z448,EXCH.AS
IE00BG370F43,XZEM.L
LU1291097779,EEMK.PA
IE00B1FZS350,IWDP.L
LU0489337690,XDER.L
IE00B1XNHC34,INRG.L
FR0010527275,WAT.PA
IE000I8KRLL9,SEMI.AS
IE00B6R51Z18,SPOG.L
IE00B6R52143,ISAG.L
IE00BG0J4C88,LOCK.L
LU0159052710,BBL1.MU
IE00BGV5VN51,XAIX.DE
IE00BYZK4552,RBOT.L
LU0292103222,XSDR.L
LU0292105359,XS3R.L
IE00B4ND3602,
IT0003856405,LDO.MI
FR0000121014,MC.PA
FR0000131906,RNO.PA
US67066G1040,NVDA
