period,oversold,overbought,return
15,40,75,0.01054779186067055
5,40,75,0.010362629381285515
15,40,70,0.01032354593562588
10,40,75,0.009896252918907557
5,35,75,0.00984610745595739
10,35,70,0.009608883812637942
5,25,65,0.009545689014179806
5,40,65,0.009519243781137193
10,35,75,0.009212371893658419
10,40,70,0.00919085950097011
5,35,65,0.009113843306285126
5,40,70,0.009033814127409568
5,25,75,0.008933249519368983
5,30,75,0.008877938386269088
5,25,60,0.008867797602306236
5,30,65,0.008798072034235957
15,40,60,0.008518347681816231
5,25,55,0.008472643814752665
10,30,70,0.00835058886001003
15,40,65,0.008316636629017448
5,30,60,0.008276179220693156
10,25,70,0.008270079926284089
5,35,60,0.008210566322621599
5,25,70,0.008158610743810423
5,20,55,0.008143880624452286
5,20,65,0.00810060538447986
5,35,70,0.008056791011089371
5,35,55,0.007986736739314075
20,40,75,0.007954856754818029
5,40,60,0.007826490384894278
5,30,55,0.007791121630641428
5,30,70,0.007680658623092459
20,40,70,0.007603118272499996
5,40,55,0.007523546510433953
5,20,60,0.007507200274674251
20,35,75,0.007477840380067064
5,20,75,0.007361551278240804
15,30,75,0.007215821730499592
20,40,65,0.007215700412640872
10,25,75,0.007001818301740859
10,30,75,0.006912026702804578
15,30,70,0.0068557575209985955
10,35,65,0.006680309213624423
10,40,65,0.006658042351040931
15,30,60,0.006458554511459806
15,35,75,0.006378500173232169
20,35,70,0.006326798434647644
10,30,65,0.006315345753427974
15,35,60,0.006310490342780832
15,40,55,0.006310466985545063
5,20,70,0.006269442907262273
10,25,65,0.006121738928652776
20,40,60,0.006067311273101513
15,35,70,0.005932823600734264
20,35,65,0.005823063909498596
10,35,60,0.005240740186542389
20,30,75,0.005209204079407064
20,40,55,0.0051759132770130235
15,30,65,0.0051608642955916
10,35,55,0.004953467461970431
10,25,55,0.004832770776426332
10,30,60,0.004776246633321425
15,30,55,0.004773077363935881
10,30,55,0.004749112447288935
15,35,65,0.0047393759092249094
15,35,55,0.004532002256061678
20,35,60,0.004492210208028264
20,35,55,0.004302838795393182
10,40,60,0.0042715148734491955
10,20,70,0.00422523774259811
10,25,60,0.004213255498783983
10,40,55,0.004026540810504958
10,20,75,0.003654723843482934
20,30,70,0.003643586461974337
15,25,75,0.00360135893807761
20,30,55,0.0034728706092989887
20,30,65,0.00330929219206766
20,25,75,0.0031866003401293712
20,25,65,0.002692977228062664
10,20,55,0.002597783976148203
15,25,70,0.002544337357390323
20,25,55,0.002417942311597726
10,20,65,0.0023728891038006985
20,25,60,0.0022666364451368283
15,25,60,0.002034044717697834
20,30,60,0.0018324768932012376
20,25,70,0.0017617368465094477
10,20,60,0.0013089512813287728
15,25,55,0.001163860176627204
15,20,75,0.0006641988945269259
20,20,65,0.000656289623566554
15,25,65,0.0006193537577104871
20,20,55,0.0003801578056070139
15,20,70,0.0003620768673301791
20,20,60,0.0002464772934684879
15,20,60,0.00015912082665221533
20,20,75,-0.00026136203729663974
15,20,65,-0.0003601713925426884
20,20,70,-0.0004468640624026011
15,20,55,-0.0007043539746229362
